175000000,-19.6177547,-44.2036992
87500000,-19.6847479,-44.0509496
70000000,-19.5429456,-44.0724300
35000000,-19.9379439,-43.9991336
24000000,-19.9474128,-43.9485341
15000000,-19.9156428,-43.9453796
13648574,-19.9800070,-43.9412343
13000000,-19.9314695,-43.9350021
13000000,-19.9339514,-43.9719187
12000000,-18.8647762,-41.1217768
11990000,-17.3731203,-44.9756750
11900000,-19.8574336,-43.9861772
11900000,-19.8574336,-43.9861772
11800000,-19.8609803,-43.9768403
11790000,-19.9149428,-43.9410590
11500000,-19.9299314,-43.9835742
11000000,-19.9265829,-43.9240941
10000000,-19.9245137,-43.9538877
10000000,-19.8556313,-43.9865011
9500000,-19.9359858,-43.9556544
9500000,-19.9807026,-43.9751749
9295000,-19.9311846,-43.9376407
9295000,-19.9311846,-43.9376407
8950000,-19.9727785,-43.9314292
8856000,-19.9244866,-43.9354151
8700000,-19.9273330,-43.9477878
8578000,-19.9311846,-43.9376407
8500000,-19.9813444,-43.9764845
8500000,-19.8584604,-43.9670794
8500000,-19.9385064,-43.9287698
8200000,-19.9777773,-43.9433639
8000000,-19.9698548,-43.9558963
8000000,-19.9150685,-43.9375314
8000000,-19.9693435,-43.9427244
8000000,-19.9385064,-43.9287698
7900000,-19.9564585,-43.9161332
7650000,-20.0120386,-43.9260328
7500000,-19.9398256,-43.9343466
7250000,-19.9564585,-43.9161332
7250000,-19.9386583,-43.9506644
7200000,-19.9698085,-43.9381305
7000000,-19.9357431,-43.9313935
7000000,-19.9156428,-43.9453796
7000000,-19.9149338,-43.9420130
6914000,-19.9616947,-43.9652056
6900000,-19.9147820,-43.9388011
6900000,-19.9147820,-43.9388011
6900000,-19.9220194,-43.9214366
6700000,-19.9787549,-43.9444515
6700000,-19.9357431,-43.9313935
6700000,-19.9787549,-43.9444515
6600000,-19.9151776,-43.9347647
6600000,-19.9151776,-43.9347647
6500000,-19.9329322,-43.9411068
6500000,-18.8647762,-41.1217768
6500000,-19.9514868,-43.9301243
6500000,-19.9151776,-43.9347647
6500000,-19.9151776,-43.9347647
6500000,-19.9688258,-43.9340486
6500000,-19.8609803,-43.9768403
6500000,-19.9616947,-43.9652056
6405157,-19.9320955,-43.9393472
6405157,-19.9311846,-43.9376407
6405156,-19.9320955,-43.9393472
6300000,-19.9273330,-43.9477878
6200000,-19.9150685,-43.9375314
6200000,-19.9265829,-43.9240941
6000000,-19.9742039,-43.9395163
6000000,-19.9151776,-43.9347647
6000000,-19.9742039,-43.9395163
6000000,-19.8868514,-43.9128283
5980000,-19.9226563,-43.9216125
5980000,-19.9226563,-43.9216125
5950000,-19.9676329,-43.9429816
5950000,-19.9787549,-43.9444515
5950000,-19.9787549,-43.9444515
5900000,-19.8562076,-44.0027334
5900000,-19.9151776,-43.9347647
5900000,-19.9450923,-43.9374086
5900000,-19.9698085,-43.9381305
5900000,-19.9505260,-43.9185118
